,DPD,Fecha,Ubigeo,Contagiados,Proyeccion,Fallecidos,Movilidad,Vacunados
APURIMAC-COTABAMBAS-COTABAMBAS,APURIMAC-COTABAMBAS-COTABAMBAS,2021-02-22 00:00:00,030502,3,6,0.0,-11.714285714285714,12.0
APURIMAC-COTABAMBAS-COYLLURQUI,APURIMAC-COTABAMBAS-COYLLURQUI,2021-02-22 00:00:00,030503,2,1,0.0,-11.714285714285714,25.0
APURIMAC-COTABAMBAS-HAQUIRA,APURIMAC-COTABAMBAS-HAQUIRA,2021-02-22 00:00:00,030504,3,3,0.0,-11.714285714285714,35.0
APURIMAC-COTABAMBAS-MARA,APURIMAC-COTABAMBAS-MARA,2021-03-01 00:00:00,030505,1,4,1.0,-15.4,14.0
APURIMAC-COTABAMBAS-TAMBOBAMBA,APURIMAC-COTABAMBAS-TAMBOBAMBA,2021-03-01 00:00:00,030501,1,1,1.0,-15.4,69.0
AREQUIPA-AREQUIPA-ALTO SELVA ALEGRE,AREQUIPA-AREQUIPA-ALTO SELVA ALEGRE,2021-03-01 00:00:00,040102,8,6,0.0,-53.4,0.0
AREQUIPA-AREQUIPA-AREQUIPA,AREQUIPA-AREQUIPA-AREQUIPA,2021-03-01 00:00:00,040101,85,54,1.0,-53.4,1157.0
AREQUIPA-AREQUIPA-CAYMA,AREQUIPA-AREQUIPA-CAYMA,2021-03-01 00:00:00,040103,29,29,0.0,-53.4,252.0
AREQUIPA-AREQUIPA-CERRO COLORADO,AREQUIPA-AREQUIPA-CERRO COLORADO,2021-03-01 00:00:00,040104,72,37,1.0,-53.4,142.0
AREQUIPA-AREQUIPA-CHARACATO,AREQUIPA-AREQUIPA-CHARACATO,2021-02-22 00:00:00,040105,3,3,0.0,-40.97142857142857,73.0
AREQUIPA-AREQUIPA-CHIGUATA,AREQUIPA-AREQUIPA-CHIGUATA,2021-02-22 00:00:00,040106,1,3,0.0,-40.97142857142857,28.0
AREQUIPA-AREQUIPA-JACOBO HUNTER,AREQUIPA-AREQUIPA-JACOBO HUNTER,2021-03-01 00:00:00,040107,14,20,0.0,-53.4,5.0
AREQUIPA-AREQUIPA-JOSE LUIS BUSTAMANTE Y RIVERO,AREQUIPA-AREQUIPA-JOSE LUIS BUSTAMANTE Y RIVERO,2021-03-01 00:00:00,040129,15,26,0.0,-53.4,0.0
AREQUIPA-AREQUIPA-LA JOYA,AREQUIPA-AREQUIPA-LA JOYA,2021-02-22 00:00:00,040108,11,11,0.0,-40.97142857142857,73.0
AREQUIPA-AREQUIPA-MARIANO MELGAR,AREQUIPA-AREQUIPA-MARIANO MELGAR,2021-03-01 00:00:00,040109,8,15,0.0,-53.4,11.0
AREQUIPA-AREQUIPA-MIRAFLORES,AREQUIPA-AREQUIPA-MIRAFLORES,2021-03-01 00:00:00,040110,6,6,0.0,-53.4,134.0
AREQUIPA-AREQUIPA-MOLLEBAYA,AREQUIPA-AREQUIPA-MOLLEBAYA,2021-02-15 00:00:00,040111,1,2,0.0,-42.68571428571429,0.0
AREQUIPA-AREQUIPA-PAUCARPATA,AREQUIPA-AREQUIPA-PAUCARPATA,2021-03-01 00:00:00,040112,15,39,5.0,-53.4,23.0
AREQUIPA-AREQUIPA-POCSI,AREQUIPA-AREQUIPA-POCSI,2021-01-11 00:00:00,040113,1,1,0.0,-26.771428571428572,0.0
AREQUIPA-AREQUIPA-POLOBAYA,AREQUIPA-AREQUIPA-POLOBAYA,2021-02-08 00:00:00,040114,1,1,0.0,-31.0,0.0
AREQUIPA-AREQUIPA-QUEQUEÑA,AREQUIPA-AREQUIPA-QUEQUEÑA,2021-02-08 00:00:00,040115,1,1,0.0,-31.0,0.0
AREQUIPA-AREQUIPA-SABANDIA,AREQUIPA-AREQUIPA-SABANDIA,2021-02-22 00:00:00,040116,2,4,0.0,-40.97142857142857,0.0
AREQUIPA-AREQUIPA-SACHACA,AREQUIPA-AREQUIPA-SACHACA,2021-03-01 00:00:00,040117,2,16,1.0,-53.4,0.0
AREQUIPA-AREQUIPA-SAN JUAN DE SIGUAS,AREQUIPA-AREQUIPA-SAN JUAN DE SIGUAS,2020-09-21 00:00:00,040118,1,2,0.0,-39.542857142857144,0.0
AREQUIPA-AREQUIPA-SAN JUAN DE TARUCANI,AREQUIPA-AREQUIPA-SAN JUAN DE TARUCANI,2021-02-22 00:00:00,040119,1,3,0.0,-40.97142857142857,0.0
AREQUIPA-AREQUIPA-SANTA ISABEL DE SIGUAS,AREQUIPA-AREQUIPA-SANTA ISABEL DE SIGUAS,2020-12-21 00:00:00,040120,1,1,0.0,-22.514285714285716,0.0
AREQUIPA-AREQUIPA-SOCABAYA,AREQUIPA-AREQUIPA-SOCABAYA,2021-03-01 00:00:00,040122,9,20,1.0,-53.4,0.0
AREQUIPA-AREQUIPA-TIABAYA,AREQUIPA-AREQUIPA-TIABAYA,2021-02-22 00:00:00,040123,7,12,2.0,-40.97142857142857,81.0
AREQUIPA-AREQUIPA-UCHUMAYO,AREQUIPA-AREQUIPA-UCHUMAYO,2021-03-01 00:00:00,040124,1,3,0.0,-53.4,0.0
AREQUIPA-AREQUIPA-VITOR,AREQUIPA-AREQUIPA-VITOR,2021-02-22 00:00:00,040125,2,3,0.0,-40.97142857142857,30.0
AREQUIPA-AREQUIPA-YANAHUARA,AREQUIPA-AREQUIPA-YANAHUARA,2021-03-01 00:00:00,040126,16,24,1.0,-53.4,91.0
AREQUIPA-AREQUIPA-YARABAMBA,AREQUIPA-AREQUIPA-YARABAMBA,2021-02-01 00:00:00,040127,1,2,0.0,-34.4,0.0
AREQUIPA-AREQUIPA-YURA,AREQUIPA-AREQUIPA-YURA,2021-03-01 00:00:00,040128,6,11,0.0,-53.4,0.0
AREQUIPA-CASTILLA-ANDAGUA,AREQUIPA-CASTILLA-ANDAGUA,2021-02-01 00:00:00,040402,1,1,0.0,-10.57142857142857,0.0
AREQUIPA-CASTILLA-APLAO,AREQUIPA-CASTILLA-APLAO,2021-03-01 00:00:00,040401,1,4,0.0,-12.4,32.0
AREQUIPA-CASTILLA-AYO,,,,,,,,
AREQUIPA-CASTILLA-CHACHAS,AREQUIPA-CASTILLA-CHACHAS,2021-02-22 00:00:00,040404,1,2,0.0,-9.97142857142857,0.0
AREQUIPA-CASTILLA-CHILCAYMARCA,,,,,,,,
AREQUIPA-CASTILLA-HUANCARQUI,AREQUIPA-CASTILLA-HUANCARQUI,2021-03-01 00:00:00,040407,1,2,0.0,-12.4,0.0
AREQUIPA-CASTILLA-MACHAGUAY,AREQUIPA-CASTILLA-MACHAGUAY,2021-02-15 00:00:00,040408,1,1,0.0,-11.114285714285714,0.0
AREQUIPA-CASTILLA-ORCOPAMPA,AREQUIPA-CASTILLA-ORCOPAMPA,2021-03-01 00:00:00,040409,3,3,0.0,-12.4,4.0
AREQUIPA-CASTILLA-PAMPACOLCA,AREQUIPA-CASTILLA-PAMPACOLCA,2021-03-01 00:00:00,040410,1,3,0.0,-12.4,0.0
AREQUIPA-CASTILLA-TIPAN,AREQUIPA-CASTILLA-TIPAN,2021-02-22 00:00:00,040411,1,1,0.0,-9.97142857142857,0.0
AREQUIPA-CASTILLA-URACA,AREQUIPA-CASTILLA-URACA,2021-02-22 00:00:00,040413,3,8,0.0,-9.97142857142857,0.0
AREQUIPA-CASTILLA-UÑON,,,,,,,,
AREQUIPA-CASTILLA-VIRACO,AREQUIPA-CASTILLA-VIRACO,2021-02-15 00:00:00,040414,1,2,0.0,-11.114285714285714,27.0
AREQUIPA-CAYLLOMA-ACHOMA,AREQUIPA-CAYLLOMA-ACHOMA,2021-02-08 00:00:00,040502,2,2,0.0,-14.45714285714286,0.0
AREQUIPA-CAYLLOMA-CABANACONDE,AREQUIPA-CAYLLOMA-CABANACONDE,2021-02-22 00:00:00,040503,2,2,0.0,-24.942857142857143,25.0
AREQUIPA-CAYLLOMA-CALLALLI,AREQUIPA-CAYLLOMA-CALLALLI,2021-02-08 00:00:00,040504,3,5,0.0,-14.45714285714286,0.0
AREQUIPA-CAYLLOMA-CAYLLOMA,AREQUIPA-CAYLLOMA-CAYLLOMA,2021-02-22 00:00:00,040505,3,3,0.0,-24.942857142857143,48.0
AREQUIPA-CAYLLOMA-CHIVAY,AREQUIPA-CAYLLOMA-CHIVAY,2021-03-01 00:00:00,040501,9,9,1.0,-42.4,0.0
AREQUIPA-CAYLLOMA-COPORAQUE,AREQUIPA-CAYLLOMA-COPORAQUE,2021-02-22 00:00:00,040506,5,5,0.0,-24.942857142857143,0.0
AREQUIPA-CAYLLOMA-HUAMBO,AREQUIPA-CAYLLOMA-HUAMBO,2020-09-14 00:00:00,040507,1,1,0.0,-27.0,0.0
AREQUIPA-CAYLLOMA-HUANCA,AREQUIPA-CAYLLOMA-HUANCA,2021-01-11 00:00:00,040508,3,3,0.0,-11.142857142857142,0.0
AREQUIPA-CAYLLOMA-ICHUPAMPA,AREQUIPA-CAYLLOMA-ICHUPAMPA,2021-02-15 00:00:00,040509,2,2,0.0,-26.08571428571429,0.0
AREQUIPA-CAYLLOMA-LARI,AREQUIPA-CAYLLOMA-LARI,2021-02-22 00:00:00,040510,1,1,0.0,-24.942857142857143,0.0
AREQUIPA-CAYLLOMA-LLUTA,AREQUIPA-CAYLLOMA-LLUTA,2021-02-15 00:00:00,040511,1,4,0.0,-26.08571428571429,0.0
AREQUIPA-CAYLLOMA-MACA,AREQUIPA-CAYLLOMA-MACA,2021-02-22 00:00:00,040512,1,2,0.0,-24.942857142857143,0.0
AREQUIPA-CAYLLOMA-MADRIGAL,AREQUIPA-CAYLLOMA-MADRIGAL,2021-03-01 00:00:00,040513,1,2,0.0,-42.4,0.0
AREQUIPA-CAYLLOMA-MAJES,AREQUIPA-CAYLLOMA-MAJES,2021-03-01 00:00:00,040520,13,24,2.0,-42.4,4.0
AREQUIPA-CAYLLOMA-SAN ANTONIO DE CHUCA,AREQUIPA-CAYLLOMA-SAN ANTONIO DE CHUCA,2021-02-22 00:00:00,040514,2,3,0.0,-24.942857142857143,0.0
AREQUIPA-CAYLLOMA-SIBAYO,AREQUIPA-CAYLLOMA-SIBAYO,2021-02-08 00:00:00,040515,1,1,0.0,-14.45714285714286,0.0
AREQUIPA-CAYLLOMA-TAPAY,AREQUIPA-CAYLLOMA-TAPAY,2021-02-08 00:00:00,040516,2,5,1.0,-14.45714285714286,0.0
AREQUIPA-CAYLLOMA-TISCO,,,,,,,,
AREQUIPA-CAYLLOMA-TUTI,AREQUIPA-CAYLLOMA-TUTI,2021-02-22 00:00:00,040518,1,1,0.0,-24.942857142857143,0.0
AREQUIPA-CAYLLOMA-YANQUE,AREQUIPA-CAYLLOMA-YANQUE,2021-02-15 00:00:00,040519,1,9,0.0,-26.08571428571429,0.0
AREQUIPA-ISLAY-COCACHACRA,AREQUIPA-ISLAY-COCACHACRA,2021-02-22 00:00:00,040702,9,8,1.0,-58.65714285714286,3.0
AREQUIPA-ISLAY-DEAN VALDIVIA,AREQUIPA-ISLAY-DEAN VALDIVIA,2021-03-01 00:00:00,040703,1,3,0.0,-73.6,0.0
AREQUIPA-ISLAY-ISLAY,AREQUIPA-ISLAY-ISLAY,2021-03-01 00:00:00,040704,2,3,0.0,-73.6,0.0
AREQUIPA-ISLAY-MEJIA,AREQUIPA-ISLAY-MEJIA,2021-02-22 00:00:00,040705,1,3,0.0,-58.65714285714286,0.0
AREQUIPA-ISLAY-MOLLENDO,AREQUIPA-ISLAY-MOLLENDO,2021-03-01 00:00:00,040701,18,26,0.0,-73.6,12.0
AREQUIPA-ISLAY-PUNTA DE BOMBON,AREQUIPA-ISLAY-PUNTA DE BOMBON,2021-02-15 00:00:00,040706,1,0,1.0,-59.74285714285715,58.0
AYACUCHO-HUAMANGA-ACOCRO,AYACUCHO-HUAMANGA-ACOCRO,2021-02-08 00:00:00,050102,1,1,0.0,-30.485714285714288,0.0
AYACUCHO-HUAMANGA-ACOS VINCHOS,AYACUCHO-HUAMANGA-ACOS VINCHOS,2021-02-22 00:00:00,050103,4,3,0.0,-35.828571428571436,19.0
AYACUCHO-HUAMANGA-AYACUCHO,AYACUCHO-HUAMANGA-AYACUCHO,2021-03-01 00:00:00,050101,76,45,0.0,-56.0,784.0
AYACUCHO-HUAMANGA-CARMEN ALTO,AYACUCHO-HUAMANGA-CARMEN ALTO,2021-03-01 00:00:00,050104,4,7,0.0,-56.0,3.0
AYACUCHO-HUAMANGA-CHIARA,AYACUCHO-HUAMANGA-CHIARA,2021-02-22 00:00:00,050105,1,1,0.0,-35.828571428571436,1.0
AYACUCHO-HUAMANGA-JESUS NAZARENO,AYACUCHO-HUAMANGA-JESUS NAZARENO,2021-03-01 00:00:00,050115,5,5,0.0,-56.0,160.0
AYACUCHO-HUAMANGA-OCROS,AYACUCHO-HUAMANGA-OCROS,2021-01-25 00:00:00,050106,1,1,0.0,-19.542857142857144,0.0
AYACUCHO-HUAMANGA-PACAYCASA,AYACUCHO-HUAMANGA-PACAYCASA,2021-03-01 00:00:00,050107,3,6,0.0,-56.0,0.0
AYACUCHO-HUAMANGA-QUINUA,AYACUCHO-HUAMANGA-QUINUA,2021-03-01 00:00:00,050108,2,4,0.0,-56.0,0.0
AYACUCHO-HUAMANGA-SAN JOSE DE TICLLAS,AYACUCHO-HUAMANGA-SAN JOSE DE TICLLAS,2021-03-01 00:00:00,050109,1,2,0.0,-56.0,0.0
AYACUCHO-HUAMANGA-SAN JUAN BAUTISTA,AYACUCHO-HUAMANGA-SAN JUAN BAUTISTA,2021-03-01 00:00:00,050110,40,43,1.0,-56.0,115.0
AYACUCHO-HUAMANGA-SANTIAGO DE PISCHA,AYACUCHO-HUAMANGA-SANTIAGO DE PISCHA,2021-02-15 00:00:00,050111,2,2,0.0,-39.77142857142857,7.0
AYACUCHO-HUAMANGA-SOCOS,AYACUCHO-HUAMANGA-SOCOS,2021-02-22 00:00:00,050112,1,2,0.0,-35.828571428571436,2.0
AYACUCHO-HUAMANGA-TAMBILLO,AYACUCHO-HUAMANGA-TAMBILLO,2021-03-01 00:00:00,050113,1,1,0.0,-56.0,0.0
AYACUCHO-HUAMANGA-VINCHOS,AYACUCHO-HUAMANGA-VINCHOS,2021-03-01 00:00:00,050114,1,3,0.0,-56.0,2.0
AYACUCHO-HUANTA-AYAHUANCO,AYACUCHO-HUANTA-AYAHUANCO,2021-02-22 00:00:00,050402,5,8,0.0,-7.885714285714286,1.0
AYACUCHO-HUANTA-CANAYRE,AYACUCHO-HUANTA-CANAYRE,2021-02-22 00:00:00,050409,4,5,0.0,-7.885714285714286,2.0
AYACUCHO-HUANTA-CHACA,,,,,,,,
AYACUCHO-HUANTA-HUAMANGUILLA,AYACUCHO-HUANTA-HUAMANGUILLA,2021-02-15 00:00:00,050403,1,1,0.0,-7.2857142857142865,41.0
AYACUCHO-HUANTA-HUANTA,AYACUCHO-HUANTA-HUANTA,2021-03-01 00:00:00,050401,17,52,0.0,-19.8,278.0
AYACUCHO-HUANTA-IGUAIN,AYACUCHO-HUANTA-IGUAIN,2021-01-18 00:00:00,050404,1,0,0.0,-4.342857142857143,0.0
AYACUCHO-HUANTA-LLOCHEGUA,AYACUCHO-HUANTA-LLOCHEGUA,2021-03-01 00:00:00,050408,7,13,0.0,-19.8,20.0
AYACUCHO-HUANTA-LURICOCHA,AYACUCHO-HUANTA-LURICOCHA,2021-03-01 00:00:00,050405,3,9,0.0,-19.8,3.0
AYACUCHO-HUANTA-PUCACOLPA,AYACUCHO-HUANTA-PUCACOLPA,2021-02-22 00:00:00,050411,1,1,0.0,-7.885714285714286,1.0
AYACUCHO-HUANTA-SANTILLANA,AYACUCHO-HUANTA-SANTILLANA,2021-02-01 00:00:00,050406,1,2,0.0,-8.685714285714287,0.0
AYACUCHO-HUANTA-SIVIA,AYACUCHO-HUANTA-SIVIA,2021-03-01 00:00:00,050407,5,14,0.0,-19.8,40.0
AYACUCHO-HUANTA-UCHURACCAY,AYACUCHO-HUANTA-UCHURACCAY,2021-02-22 00:00:00,050410,1,0,0.0,-7.885714285714286,3.0
AYACUCHO-LA MAR-ANCHIHUAY,AYACUCHO-LA MAR-ANCHIHUAY,2021-02-15 00:00:00,050510,4,3,0.0,-6.685714285714286,6.0
AYACUCHO-LA MAR-ANCO,AYACUCHO-LA MAR-ANCO,2021-03-01 00:00:00,050502,3,1,0.0,-5.2,15.0
AYACUCHO-LA MAR-AYNA,AYACUCHO-LA MAR-AYNA,2021-03-01 00:00:00,050503,13,16,1.0,-5.2,125.0
AYACUCHO-LA MAR-CHILCAS,,,,,,,,
AYACUCHO-LA MAR-CHUNGUI,AYACUCHO-LA MAR-CHUNGUI,2021-03-01 00:00:00,050505,1,1,0.0,-5.2,4.0
AYACUCHO-LA MAR-LUIS CARRANZA,,,,,,,,
AYACUCHO-LA MAR-ORONCCOY,,,,,,,,
AYACUCHO-LA MAR-SAMUGARI,AYACUCHO-LA MAR-SAMUGARI,2021-03-01 00:00:00,050509,1,3,0.0,-5.2,14.0
AYACUCHO-LA MAR-SAN MIGUEL,AYACUCHO-LA MAR-SAN MIGUEL,2021-03-01 00:00:00,050501,4,19,0.0,-5.2,145.0
AYACUCHO-LA MAR-SANTA ROSA,AYACUCHO-LA MAR-SANTA ROSA,2021-03-01 00:00:00,050507,2,2,0.0,-5.2,1.0
AYACUCHO-LA MAR-TAMBO,AYACUCHO-LA MAR-TAMBO,2021-02-15 00:00:00,050508,2,3,0.0,-6.685714285714286,42.0
AYACUCHO-LUCANAS-AUCARA,AYACUCHO-LUCANAS-AUCARA,2021-02-15 00:00:00,050602,1,2,0.0,-7.114285714285714,21.0
AYACUCHO-LUCANAS-CABANA,AYACUCHO-LUCANAS-CABANA,2021-02-22 00:00:00,050603,2,3,0.0,-7.257142857142857,0.0
AYACUCHO-LUCANAS-CARMEN SALCEDO,AYACUCHO-LUCANAS-CARMEN SALCEDO,2021-02-22 00:00:00,050604,1,1,0.0,-7.257142857142857,0.0
AYACUCHO-LUCANAS-CHAVIÑA,AYACUCHO-LUCANAS-CHAVIÑA,2021-02-15 00:00:00,050605,1,3,0.0,-7.114285714285714,10.0
AYACUCHO-LUCANAS-CHIPAO,AYACUCHO-LUCANAS-CHIPAO,2021-02-15 00:00:00,050606,4,2,0.0,-7.114285714285714,17.0
AYACUCHO-LUCANAS-LARAMATE,AYACUCHO-LUCANAS-LARAMATE,2021-02-08 00:00:00,050608,2,2,0.0,-7.485714285714286,0.0
AYACUCHO-LUCANAS-LEONCIO PRADO,AYACUCHO-LUCANAS-LEONCIO PRADO,2021-02-22 00:00:00,050609,1,1,0.0,-7.257142857142857,0.0
AYACUCHO-LUCANAS-LLAUTA,,,,,,,,
AYACUCHO-LUCANAS-LUCANAS,AYACUCHO-LUCANAS-LUCANAS,2021-02-22 00:00:00,050611,1,1,0.0,-7.257142857142857,0.0
AYACUCHO-LUCANAS-OCAÑA,AYACUCHO-LUCANAS-OCAÑA,2021-02-08 00:00:00,050612,4,4,0.0,-7.485714285714286,0.0
AYACUCHO-LUCANAS-OTOCA,AYACUCHO-LUCANAS-OTOCA,2021-02-22 00:00:00,050613,3,3,0.0,-7.257142857142857,2.0
AYACUCHO-LUCANAS-PUQUIO,AYACUCHO-LUCANAS-PUQUIO,2021-03-01 00:00:00,050601,5,5,0.0,-8.0,245.0
AYACUCHO-LUCANAS-SAN CRISTOBAL,AYACUCHO-LUCANAS-SAN CRISTOBAL,2021-03-01 00:00:00,050615,2,2,0.0,-8.0,0.0
AYACUCHO-LUCANAS-SAN JUAN,AYACUCHO-LUCANAS-SAN JUAN,2021-02-15 00:00:00,050616,1,1,0.0,-7.114285714285714,6.0
AYACUCHO-LUCANAS-SAN PEDRO,AYACUCHO-LUCANAS-SAN PEDRO,2021-02-22 00:00:00,050617,1,1,0.0,-7.257142857142857,2.0
AYACUCHO-LUCANAS-SAN PEDRO DE PALCO,,,,,,,,
AYACUCHO-LUCANAS-SANCOS,AYACUCHO-LUCANAS-SANCOS,2021-03-01 00:00:00,050619,1,3,0.0,-8.0,1.0
AYACUCHO-LUCANAS-SANTA ANA DE HUAYCAHUACHO,,,,,,,,
AYACUCHO-LUCANAS-SANTA LUCIA,,,,,,,,
CAJAMARCA-CAJABAMBA-CACHACHI,CAJAMARCA-CAJABAMBA-CACHACHI,2021-03-01 00:00:00,060202,1,3,1.0,-16.0,3.0
CAJAMARCA-CAJABAMBA-CAJABAMBA,CAJAMARCA-CAJABAMBA-CAJABAMBA,2021-03-01 00:00:00,060201,8,13,2.0,-16.0,32.0
CAJAMARCA-CAJABAMBA-CONDEBAMBA,CAJAMARCA-CAJABAMBA-CONDEBAMBA,2021-02-22 00:00:00,060203,8,3,0.0,-11.028571428571427,27.0
CAJAMARCA-CAJABAMBA-SITACOCHA,CAJAMARCA-CAJABAMBA-SITACOCHA,2021-02-22 00:00:00,060204,1,1,0.0,-11.028571428571427,36.0
CAJAMARCA-CAJAMARCA-ASUNCION,CAJAMARCA-CAJAMARCA-ASUNCION,2020-12-14 00:00:00,060102,1,0,0.0,-21.628571428571426,0.0
CAJAMARCA-CAJAMARCA-CAJAMARCA,CAJAMARCA-CAJAMARCA-CAJAMARCA,2021-03-01 00:00:00,060101,193,181,2.0,-47.0,1383.0
CAJAMARCA-CAJAMARCA-CHETILLA,CAJAMARCA-CAJAMARCA-CHETILLA,2020-11-30 00:00:00,060103,1,1,1.0,-29.742857142857144,0.0
CAJAMARCA-CAJAMARCA-COSPAN,CAJAMARCA-CAJAMARCA-COSPAN,2021-02-15 00:00:00,060104,1,3,0.0,-33.228571428571435,0.0
CAJAMARCA-CAJAMARCA-ENCAÑADA,CAJAMARCA-CAJAMARCA-ENCAÑADA,2021-03-01 00:00:00,060105,2,8,0.0,-47.0,2.0
CAJAMARCA-CAJAMARCA-JESUS,CAJAMARCA-CAJAMARCA-JESUS,2021-03-01 00:00:00,060106,1,6,0.0,-47.0,7.0
CAJAMARCA-CAJAMARCA-LLACANORA,CAJAMARCA-CAJAMARCA-LLACANORA,2021-02-08 00:00:00,060107,1,3,0.0,-36.2,0.0
CAJAMARCA-CAJAMARCA-LOS BAÑOS DEL INCA,CAJAMARCA-CAJAMARCA-LOS BAÑOS DEL INCA,2021-03-01 00:00:00,060108,14,6,1.0,-47.0,50.0
CAJAMARCA-CAJAMARCA-MAGDALENA,CAJAMARCA-CAJAMARCA-MAGDALENA,2021-02-22 00:00:00,060109,3,7,0.0,-32.0,47.0
CAJAMARCA-CAJAMARCA-MATARA,CAJAMARCA-CAJAMARCA-MATARA,2021-02-22 00:00:00,060110,1,2,0.0,-32.0,0.0
CAJAMARCA-CAJAMARCA-NAMORA,CAJAMARCA-CAJAMARCA-NAMORA,2021-02-22 00:00:00,060111,1,3,0.0,-32.0,0.0
CAJAMARCA-CAJAMARCA-SAN JUAN,CAJAMARCA-CAJAMARCA-SAN JUAN,2021-02-15 00:00:00,060112,1,4,0.0,-33.228571428571435,0.0
CAJAMARCA-CHOTA-ANGUIA,CAJAMARCA-CHOTA-ANGUIA,2021-02-15 00:00:00,060402,1,1,0.0,-12.6,0.0
CAJAMARCA-CHOTA-CHALAMARCA,CAJAMARCA-CHOTA-CHALAMARCA,2021-01-11 00:00:00,060419,1,2,0.0,-8.542857142857141,0.0
CAJAMARCA-CHOTA-CHIGUIRIP,CAJAMARCA-CHOTA-CHIGUIRIP,2021-02-22 00:00:00,060404,1,2,0.0,-10.942857142857145,19.0
CAJAMARCA-CHOTA-CHIMBAN,CAJAMARCA-CHOTA-CHIMBAN,2021-01-11 00:00:00,060405,1,1,0.0,-8.542857142857141,0.0
CAJAMARCA-CHOTA-CHOROPAMPA,CAJAMARCA-CHOTA-CHOROPAMPA,2021-02-15 00:00:00,060406,2,1,0.0,-12.6,0.0
CAJAMARCA-CHOTA-CHOTA,CAJAMARCA-CHOTA-CHOTA,2021-03-01 00:00:00,060401,8,2,0.0,-20.0,172.0
CAJAMARCA-CHOTA-COCHABAMBA,CAJAMARCA-CHOTA-COCHABAMBA,2021-02-22 00:00:00,060407,2,4,0.0,-10.942857142857145,29.0
CAJAMARCA-CHOTA-CONCHAN,CAJAMARCA-CHOTA-CONCHAN,2021-02-22 00:00:00,060408,2,3,0.0,-10.942857142857145,27.0
CAJAMARCA-CHOTA-HUAMBOS,CAJAMARCA-CHOTA-HUAMBOS,2021-02-22 00:00:00,060409,2,1,1.0,-10.942857142857145,22.0
CAJAMARCA-CHOTA-LAJAS,CAJAMARCA-CHOTA-LAJAS,2021-02-22 00:00:00,060410,1,0,1.0,-10.942857142857145,74.0
CAJAMARCA-CHOTA-LLAMA,CAJAMARCA-CHOTA-LLAMA,2021-02-22 00:00:00,060411,7,4,0.0,-10.942857142857145,25.0
